,date,state,vaxxed_per_hundred,people_fully_vaccinated,Confirmed,cases_avg,deaths_avg,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,daily_vaccinations,total_vaccinations
0,2021-07-06,Alabama,32.99,1617584.0,551298,121.0,2.86,11358,539940,81328,11243.671205553124,2.060228769195608,6066.0,3392366.0
1,2021-07-06,Alaska,44.15,322988.0,71384,27.57,0.43,377,71007,31286,9757.977978114812,0.5281295528409727,3219.0,678029.0
2,2021-07-06,Arizona,43.58,3172380.0,897010,543.43,10.0,17979,879031,562308,12323.737823575228,2.0043254813212785,48692.0,6826215.0
3,2021-07-06,Arkansas,34.57,1043217.0,351825,485.14,3.0,5920,345905,41703,11658.31180553807,1.6826547289135223,5162.0,2261649.0
4,2021-07-06,California,50.49,19949682.0,3821572,1285.33,32.0,63655,3757917,1253106,9671.872929042742,1.665544964218913,95566.0,43182509.0
5,2021-07-06,Colorado,52.41,3018088.0,559704,380.0,4.43,6817,552887,74519,9719.216161324292,1.2179652101825251,9657.0,6245280.0
6,2021-07-06,Connecticut,61.26,2184079.0,349476,50.0,0.43,8279,341197,100573,9802.184228085986,2.368975265826552,6359.0,4443865.0
7,2021-07-06,Delaware,50.68,493459.0,109891,26.86,0.14,1695,108196,65138,11285.177928122215,1.5424375062561992,1831.0,1050376.0
8,2021-07-06,District of Columbia,52.98,373883.0,49378,13.67,0.0,1141,48237,49417,6996.538429384951,2.310745676212078,1682.0,873977.0
9,2021-07-06,Florida,46.48,9983279.0,2381148,1492.57,21.29,37985,2343163,511394,11086.587008677869,1.5952389351690863,44863.0,21329822.0
10,2021-07-06,Georgia,36.98,3926832.0,1135526,474.71,8.43,21443,1114083,103476,10694.930398835952,1.8883759596874048,15976.0,8517999.0
11,2021-07-06,Guam,55.5,91993.0,8373,6.57,0.0,140,8233,8394,5098.368741208922,1.6720410844380749,574.0,191725.0
12,2021-07-06,Hawaii,52.21,739265.0,38043,48.0,0.29,518,37525,28079,2686.895425575193,1.361617117472334,1503.0,1688401.0
13,2021-07-06,Idaho,36.37,649886.0,195172,75.57,1.43,2158,193014,53729,10921.371074918932,1.1056913901584244,1949.0,1334744.0
14,2021-07-06,Illinois,46.74,5922870.0,1392552,326.14,8.57,25678,1366874,557498,10989.359777099124,1.843952685429341,23962.0,13115185.0
15,2021-07-06,Indiana,42.71,2875407.0,754724,311.29,5.71,13863,740861,103723,11210.627580594157,1.8368304174771173,39538.0,5853421.0
16,2021-07-06,Iowa,48.39,1526753.0,374207,78.57,2.0,6146,368061,58389,11860.497548390367,1.6424064755603185,3535.0,3056458.0
17,2021-07-06,Kansas,42.33,1233258.0,319541,130.0,1.67,5158,314383,59976,10968.29933196353,1.6141903542894338,3997.0,2508266.0
18,2021-07-06,Kentucky,43.97,1964591.0,465490,147.43,4.0,7229,458261,83251,10419.070509412844,1.552987174805044,6338.0,4032126.0
19,2021-07-06,Louisiana,35.44,1647596.0,482560,528.71,4.43,10757,471803,47816,10380.326596532348,2.2291528514588856,11955.0,3416781.0
20,2021-07-06,Maine,61.94,832621.0,69121,13.86,0.29,860,68261,17270,5142.120439335462,1.2441949624571405,2877.0,1623620.0
21,2021-07-06,Maryland,56.62,3423288.0,462634,66.29,2.0,9751,452883,85608,7652.3071019306335,2.107713657016129,11237.0,6940161.0
22,2021-07-06,Massachusetts,62.21,4287693.0,710138,79.29,1.71,17997,692141,135478,10303.04955978982,2.5342961508889816,12029.0,8910111.0
23,2021-07-06,Michigan,47.35,4728832.0,1000375,170.43,6.33,21009,979366,166192,10016.915231689009,2.1001124578283146,8119.0,9468301.0
24,2021-07-06,Minnesota,52.32,2950723.0,605660,72.29,4.0,7703,597957,125311,10739.35320602479,1.2718356833867186,11595.0,5916423.0
25,2021-07-06,Mississippi,29.89,889553.0,322186,203.86,1.86,7419,314767,22438,10825.600465568088,2.3027071319051733,1047.0,1913816.0
26,2021-07-06,Missouri,39.43,2419726.0,630744,988.57,5.14,9758,620986,102337,10277.008544947492,1.5470618824752989,11657.0,5163543.0
27,2021-07-06,Montana,43.21,461776.0,113873,37.43,0.43,1666,112207,18110,10654.50449017476,1.4630333792909644,1971.0,946621.0
28,2021-07-06,Nebraska,48.01,928701.0,224682,67.0,0.14,2261,222421,71755,11604.997497942522,1.007180784719005,2304.0,1876152.0
29,2021-07-06,Nevada,42.5,1309061.0,334763,422.14,3.43,5697,329066,262134,10868.378095135442,1.7018009756155847,6658.0,2814798.0
30,2021-07-06,New Hampshire,56.74,771557.0,99555,20.71,0.29,1372,98183,36440,7321.776465734261,1.3781326904726032,4673.0,1547687.0
